"ID","Money","Jobs","Schools","Party","Woman","WomanStrong","vote.choice","client.choice","water.choice","school.choice","Wealth","PolPart","Vignette2","played.game"
"uuid:10cd1b9a-44d1-44b3-b0b3-85e104efc1ab",FALSE,TRUE,FALSE,"my-party",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,-1.14542518803815,0.422485568643021,"Less","Yes"
"uuid:10cd1b9a-44d1-44b3-b0b3-85e104efc1ab",FALSE,TRUE,FALSE,"my-party",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,-1.14542518803815,0.422485568643021,"Less","Yes"
"uuid:10cd1b9a-44d1-44b3-b0b3-85e104efc1ab",FALSE,FALSE,TRUE,"rival-party",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,-1.14542518803815,0.422485568643021,"Less","Yes"
"uuid:f9cc85fe-013c-4408-b919-69df3f8d797e",TRUE,FALSE,FALSE,"rival-party",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,-0.586261379542431,0.095536240064941,"Less","Yes"
"uuid:f9cc85fe-013c-4408-b919-69df3f8d797e",FALSE,TRUE,FALSE,"rival-party",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,-0.586261379542431,0.095536240064941,"Less","Yes"
"uuid:f9cc85fe-013c-4408-b919-69df3f8d797e",FALSE,TRUE,TRUE,"rival-party",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,-0.586261379542431,0.095536240064941,"Less","Yes"
"uuid:1092f999-7d4a-42d2-bbfa-9cfebe10d595",FALSE,TRUE,FALSE,"rival-party",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.808304821003773,0.186920215464578,"Less","Yes"
"uuid:1092f999-7d4a-42d2-bbfa-9cfebe10d595",FALSE,TRUE,FALSE,"rival-party",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-0.808304821003773,0.186920215464578,"Less","Yes"
"uuid:1092f999-7d4a-42d2-bbfa-9cfebe10d595",FALSE,TRUE,FALSE,"rival-party",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,-0.808304821003773,0.186920215464578,"Less","Yes"
"uuid:580b6098-6c2f-48c3-b8a9-8968ac1a6137",FALSE,FALSE,TRUE,"my-party",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,-0.817491878809256,1.0646995823486,"More","Yes"
